cluster,state,district,date_announced,date_last_onset,category,status,cases_new,cases_total,cases_active,tests,icu,deaths,recovered,summary_bm,summary_en
Kluster Dah Bukit Makmur,2,"Pendang, Yan, Kuala Muda, Kulim, Kubang Pasu",2021-06-12,2021-07-10,workplace,ended,0,473,0,589,0,2,471,,
Kluster Lorong Satu A,12,"Kota Kinabalu, Tuaran, Penampang",2021-06-13,2021-06-12,workplace,ended,0,10,0,40,0,0,10,,
Kluster Industri Jalan Sepuluh,3,"Kota Bharu, Bachok",2021-06-13,2021-06-12,workplace,ended,0,18,0,57,0,0,18,,
Kluster Industri Jalan Sijangkang Utama,10,"Kuala Langat, Klang",2021-06-13,2021-06-12,workplace,ended,0,24,0,221,0,0,24,,
Kluster Tembikar Jalan Johor,1,Batu Pahat,2021-06-13,2021-06-12,workplace,ended,0,20,0,136,0,0,20,,
Kluster Desa Tun Razak 2,14,Cheras,2021-06-13,2021-06-15,workplace,ended,0,26,0,45,0,0,26,,
Kluster Jalan Agaseh,12,Lahad Datu,2021-06-13,2021-06-18,workplace,ended,0,25,0,101,0,0,25,,
Kluster Kampung Choh,1,Pontian,2021-06-13,2021-06-19,workplace,ended,0,12,0,62,0,0,12,,
Kluster Kebayau,12,"Kota Belud, Keningau",2021-06-13,2021-06-27,community,ended,0,39,0,295,0,0,39,,
Kluster Dah Sintok,2,Kubang Pasu,2021-06-13,2021-06-28,education,ended,0,39,0,630,0,0,39,,
Kluster Plo Perindustrian 65,"1,4","Tangkak, Jasin",2021-06-13,2021-06-28,workplace,ended,0,40,0,98,0,0,40,,
Kluster Kampung Tabuan Haji Drahman,13,Kuching,2021-06-13,2021-06-30,community,ended,0,46,0,75,0,0,46,,
Kluster Industri Sungai Chandong Sembilan,10,"Klang, Petaling, Kuala Langat",2021-06-13,2021-07-04,workplace,ended,0,16,0,104,0,0,16,,
Kluster Kampung Sebandi Hilir,13,Lundu,2021-06-13,2021-07-08,community,ended,0,116,0,200,0,0,116,,
Kluster Industri Jalan Usaha Merlimau,4,"Jasin, Alor Gajah, Melaka Tengah",2021-06-13,2021-07-14,workplace,ended,0,160,0,351,0,5,155,,
Kluster Industri Jalan Anggerik Mokara,10,Klang,2021-06-13,2021-07-25,workplace,ended,0,8,0,46,0,0,8,,
Kluster Kampung Berangan Apam,3,Pasir Mas,2021-06-14,2021-06-13,community,ended,0,8,0,19,0,0,8,,
Kluster Industri Jalan Tengah Empat,10,Gombak,2021-06-14,2021-06-13,workplace,ended,0,11,0,42,0,0,11,,
Kluster Tapak Bina Persiaran Pertahanan,14,Titiwangsa,2021-06-14,2021-06-13,workplace,ended,0,115,0,570,0,0,115,,
Kluster Batu Empat Tunjong,3,"Kota Bharu, Bachok, Pasir Mas, Pasir Puteh",2021-06-14,2021-06-15,workplace,ended,0,31,0,75,0,0,31,,
Kluster Ulu Sangan,13,Tatau,2021-06-14,2021-06-16,community,ended,0,21,0,59,0,0,21,,
Kluster Jalan Bukit Delima,5,Seremban,2021-06-14,2021-06-16,highRisk,ended,0,40,0,48,0,9,31,,
Kluster Sungai Sentebu,13,Sarikei,2021-06-14,2021-06-18,community,ended,0,116,0,185,0,0,116,,
Kluster Perindustrian Bakri Lima,1,Muar,2021-06-14,2021-06-19,workplace,ended,0,182,0,464,0,0,182,,
Kluster Kampung Senggang,8,Kuala Kangsar,2021-06-14,2021-06-19,community,ended,0,22,0,280,0,0,22,,
Kluster Jalan Aik Hwa Choon,1,Muar,2021-06-14,2021-06-21,workplace,ended,0,58,0,64,0,0,58,,
Kluster Industri Subang Tujuh,10,Petaling,2021-06-14,2021-06-21,workplace,ended,0,42,0,85,0,0,42,,
Kluster Jalan Minyak Beku,1,"Batu Pahat, Muar",2021-06-14,2021-06-24,workplace,ended,0,94,0,391,0,0,94,,
Kluster Industri 5084 Pengkalan Chepa,3,Kota Bharu,2021-06-14,2021-06-29,workplace,ended,0,43,0,53,0,0,43,,
Kluster Walit Agas,1,"Tangkak, Muar",2021-06-14,2021-07-02,workplace,ended,0,46,0,55,0,0,46,,
Kluster Industri Sungai Pinang Lapan,10,"Klang, Petaling",2021-06-14,2021-07-02,workplace,ended,0,123,0,344,0,0,123,,
Kluster Industri Jalan Makmur,10,Kuala Selangor,2021-06-14,2021-07-04,workplace,ended,0,83,0,176,0,0,83,,
Kluster Industri Persiaran Usahawan Tiga,10,"Hulu Langat, Kuala Langat, Sepang",2021-06-14,2021-08-28,workplace,ended,0,91,0,395,0,0,91,,
Kluster Jalan Daya,13,Kuching,2021-06-15,2021-06-14,workplace,ended,0,29,0,153,0,0,29,,
Kluster Industri Perusahaan Dua Bangi,10,Hulu Langat,2021-06-15,2021-06-14,workplace,ended,0,42,0,218,0,0,42,,
Kluster Industri Meranti Jaya 13,10,Sepang,2021-06-15,2021-06-16,workplace,ended,0,93,0,141,0,0,93,,
Kluster Nanga Strass,13,Meradong,2021-06-15,2021-06-20,community,ended,0,34,0,83,0,1,33,,
Kluster Industri Pulau Meranti,10,Sepang,2021-06-15,2021-06-20,workplace,ended,0,58,0,127,0,0,58,,
Kluster Kampung Kolong,13,Kuching,2021-06-15,2021-06-21,community,ended,0,75,0,83,0,0,75,,
Kluster Industri Jalan Berangan,10,Klang,2021-06-15,2021-06-22,workplace,ended,0,113,0,152,0,0,113,,
Kluster Jalan Keluli Lima,1,Johor Bahru,2021-06-15,2021-06-23,workplace,ended,0,33,0,46,0,0,33,,
Kluster Jalan Mesra,"10,14","Titiwangsa, Hulu Langat",2021-06-15,2021-06-24,highRisk,ended,0,26,0,33,0,1,25,,
Kluster Kasap,1,Segamat,2021-06-15,2021-06-26,workplace,ended,0,700,0,1030,0,0,700,,
Kluster Dulang,13,"Subis, Bintulu, Miri",2021-06-15,2021-07-08,workplace,ended,0,66,0,326,0,0,66,,
Kluster Tapak Bina Wangsa Kuarza,"6,14","Titiwangsa, Bentong",2021-06-15,2021-07-11,workplace,ended,0,162,0,245,0,0,162,,
Kluster Dah Industri Arang,2,"Kuala Muda, Sik, Baling, Yan",2021-06-15,2021-07-12,workplace,ended,0,121,0,156,0,0,121,,
Kluster Nanga Sejugam,13,Julau,2021-06-15,2021-07-15,community,ended,0,107,0,191,0,0,107,,
Kluster Industri Balakong Baru 11,10,Hulu Langat,2021-06-15,2021-07-16,workplace,ended,0,130,0,282,0,0,130,,
Kluster Desa Rejang,14,Titiwangsa,2021-06-15,2021-08-01,community,ended,0,755,0,2450,0,15,740,,
Kluster Industri Jalan Serendah,10,"Petaling, Klang",2021-06-15,2021-08-28,workplace,ended,0,63,0,276,0,1,62,,
Kluster Industri Teknologi Cheng 28,4,"Melaka Tengah, Alor Gajah",2021-06-15,2021-09-12,workplace,ended,0,74,0,208,0,0,74,,
Kluster Tingkat Perusahaan Empat,"2,7,8","Seberang Perai Tengah, Seberang Perai Utara, Seberang Perai Selatan, Barat Daya, Timur Laut, Kulim, Baling, Kuala Muda, Kota Setar, Sik, Padang Terap, Bandar Baharu, Pendang, Larut, Matang Dan Selama, Kerian",2021-06-15,2021-09-28,workplace,ended,0,682,0,1086,0,1,681,,
Kluster Jalan Dayang,10,Hulu Langat,2021-06-16,2021-06-15,highRisk,ended,0,8,0,18,0,0,8,,
Kluster Jalan Wawasan Empat,1,Batu Pahat,2021-06-16,2021-06-15,workplace,ended,0,10,0,16,0,0,10,,
Kluster Industri Serendah Indah,10,"Hulu Selangor, Gombak",2021-06-16,2021-06-16,workplace,ended,0,58,0,100,0,0,58,,
Kluster Industri Cheras Jalan Tiga,10,Hulu Langat,2021-06-16,2021-06-16,workplace,ended,0,34,0,262,0,0,34,,
Kluster Jalan Song Ban Kheng,7,Seberang Perai Tengah,2021-06-16,2021-06-19,workplace,ended,0,9,0,31,0,0,9,,
Kluster Jalan Intan,8,"Hulu Perak, Kinta",2021-06-16,2021-06-22,workplace,ended,0,29,0,62,0,0,29,,
Kluster Jalan Mentahak,1,Johor Bahru,2021-06-16,2021-06-23,highRisk,ended,0,37,0,46,0,3,34,,
Kluster Jalan Hujan Bubuk,14,Lembah Pantai,2021-06-16,2021-06-23,highRisk,ended,0,17,0,39,0,1,16,,
Kluster Jalan Bintulu - Tatau,13,Bintulu,2021-06-16,2021-06-23,community,ended,0,46,0,151,0,0,46,,
Kluster Kionsom Kecil,12,Kota Kinabalu,2021-06-16,2021-06-24,community,ended,0,63,0,441,0,0,63,,
Kluster Jalan Lima Ampang Utama,10,Hulu Langat,2021-06-16,2021-06-26,highRisk,ended,0,19,0,26,0,1,18,,
Kluster Gran Stumbin,13,Sri Aman,2021-06-16,2021-06-29,community,ended,0,123,0,620,0,1,122,,
Kluster Sri Purnama,3,Pasir Puteh,2021-06-16,2021-06-30,community,ended,0,32,0,398,0,0,32,,
Kluster Lorong Tembun,5,Jelebu,2021-06-16,2021-07-02,community,ended,0,38,0,245,0,1,37,,
Kluster Jalan Tanjung Kidurong Tiga,13,Bintulu,2021-06-16,2021-07-08,workplace,ended,0,51,0,102,0,0,51,,
Kluster Jalan Tun Fatimah,"4,5","Melaka Tengah, Jasin, Kuala Pilah",2021-06-16,2021-08-12,workplace,ended,0,133,0,568,0,0,133,,
Kluster Industri Jalan Ss 13,10,"Petaling, Gombak, Hulu Langat, Klang, Kuala Langat",2021-06-16,2021-08-27,workplace,ended,0,273,0,1583,0,0,273,,
Kluster Solok Perusahaan Satu,"2,7,8","Seberang Perai Tengah, Seberang Perai Selatan, Seberang Perai Utara, Timur Laut, Barat Daya,  Kulim, Kuala Muda, Larut, Matang Dan Selama, Kerian",2021-06-16,2021-08-29,workplace,ended,0,624,0,1172,0,3,621,,
Kluster Tapak Bina Jalan Gamuda Satu,10,Gombak,2021-06-16,2021-10-06,workplace,ended,0,325,0,423,0,0,325,,
Kluster Industri Jalan Utarid U5,10,"Petaling, Gombak, Kuala Selangor, Klang",2021-06-17,2021-06-16,workplace,ended,0,73,0,87,0,0,73,,
Kluster Jalan Kidurong Empat,13,Bintulu,2021-06-17,2021-06-16,community,ended,0,18,0,43,0,0,18,,
Kluster Industri Jalan Balakong Impian,10,Hulu Langat,2021-06-17,2021-06-16,workplace,ended,0,9,0,20,0,0,9,,
Kluster Taman Midah,14,Cheras ,2021-06-17,2021-06-16,education,ended,0,12,0,38,0,0,12,,
Kluster Jalan Ho Koon Suan,1,Muar,2021-06-17,2021-06-16,workplace,ended,0,11,0,22,0,0,0,,
Kluster Jalan Pamol,1,Kluang,2021-06-17,2021-06-20,workplace,ended,0,19,0,178,0,0,19,,
Kluster Dah Industri Hitam,2,Kubang Pasu,2021-06-17,2021-06-20,workplace,ended,0,15,0,132,0,0,15,,
Kluster Dah Segar Indah,2,Langkawi,2021-06-17,2021-06-21,workplace,ended,0,22,0,148,1,0,22,,
Kluster Pondok Batu Lapan,5,Seremban,2021-06-17,2021-06-23,workplace,ended,0,61,0,79,0,1,60,,
Kluster Jalan Seri Alam,1,Johor Bahru,2021-06-17,2021-06-23,workplace,ended,0,14,0,154,0,0,14,,
Kluster Lorong Industri Tujuh,7,Seberang Perai Selatan,2021-06-17,2021-06-23,workplace,ended,0,27,0,102,0,0,27,,
Kluster Jalan Masyhur Empat,1,Johor Bahru,2021-06-17,2021-06-24,workplace,ended,0,49,0,89,0,0,49,,
Kluster Jalan Teluk Sengat,1,Kota Tinggi,2021-06-17,2021-06-26,workplace,ended,0,16,0,147,0,0,16,,
Kluster Sawai Niah,13,"Subis, Miri",2021-06-17,2021-06-27,workplace,ended,0,83,0,375,0,0,83,,
Kluster Bari,5,Kuala Pilah,2021-06-17,2021-06-27,community,ended,0,104,0,268,0,0,104,,
Kluster Dah Industri Desa,2,Kuala Muda,2021-06-17,2021-06-29,workplace,ended,0,38,0,93,0,0,38,,
Kluster Industri Jalan Kb 15,10,"Petaling, Hulu Langat",2021-06-17,2021-07-01,workplace,ended,0,61,0,213,0,0,61,,
Kluster Industri Solok Waja Dua,10,Klang,2021-06-17,2021-07-04,workplace,ended,0,47,0,51,0,0,47,,
Kluster Tanjung Ketom,"4,11","Kuala Terengganu, Marang, Kuala Nerus, Melaka Tengah",2021-06-17,2021-07-10,community,ended,0,51,0,708,0,1,50,,
Kluster Bukit Godek,4,"Melaka Tengah, Jasin",2021-06-17,2021-07-13,community,ended,0,105,0,247,0,1,104,,
Kluster Dah Industri Bakar,2,"Kuala Muda, Baling, Sik, Yan, Pendang, Kulim",2021-06-17,2021-07-16,workplace,ended,0,485,0,1224,0,3,482,,
Kluster Industri Batu Empat Sungai Pelek,10,Sepang,2021-06-17,2021-07-19,workplace,ended,0,42,0,147,0,0,42,,
Kluster Jalan Perindustrian Enam,1,Tangkak,2021-06-17,2021-07-20,workplace,ended,0,310,0,524,0,1,309,,
Kluster Tapak Bina Jalan Gelugor,7,Seberang Perai Utara,2021-06-17,2021-07-23,workplace,ended,0,185,0,401,0,0,185,,
Kluster Industri Kilometer 15,10,"Kuala Langat, Klang",2021-06-17,2021-08-28,workplace,ended,0,74,0,635,0,0,74,,
Kluster Industri Jalan Hitech Tujuh,10,"Hulu Langat, Petaling",2021-06-18,2021-06-17,workplace,ended,0,15,0,36,0,0,15,,
Kluster Jalan Sungai Tapang,13,"Kuching, Samarahan, Asajaya",2021-06-18,2021-06-17,workplace,ended,0,33,0,236,0,0,33,,
Kluster Industri Bukit Serdang Tujuh,10,"Petaling, Hulu Langat",2021-06-18,2021-06-17,workplace,ended,0,13,0,40,0,0,13,,
Kluster Tapak Bina Desa Rawang,10,Gombak,2021-06-18,2021-06-17,workplace,ended,0,62,0,262,0,0,62,,
Kluster Industri Taming Lima,10,Hulu Langat,2021-06-18,2021-06-17,workplace,ended,0,13,0,158,0,0,13,,
Kluster Jalan Silc Industri,1,Johor Bahru,2021-06-18,2021-06-17,workplace,ended,0,13,0,43,0,0,13,,
Kluster Padang Tembak Ayer Itam,7,Timur Laut,2021-06-18,2021-06-19,community,ended,0,26,0,181,0,5,21,,
Kluster Industri Jalan Jasmin,10,Hulu Selangor,2021-06-18,2021-06-21,workplace,ended,0,28,0,56,0,0,28,,
Kluster Jalan 18/16A Petaling,10,Petaling,2021-06-18,2021-06-22,highRisk,ended,0,25,0,39,0,2,23,,
Kluster Jalan Abang Haji Openg,14,Kepong,2021-06-18,2021-06-22,workplace,ended,0,11,0,13,0,1,10,,
Kluster Cabang Empat Salam,3,"Pasir Mas, Kota Bharu",2021-06-18,2021-06-25,community,ended,0,13,0,22,0,0,13,,
Kluster Pintas-Lingkudau,12,"Keningau, Tambunan",2021-06-18,2021-06-27,workplace,ended,0,45,0,483,0,0,45,,
Kluster Jalan Fauna Satu,10,Sepang,2021-06-18,2021-06-29,workplace,ended,0,35,0,58,0,0,35,,
Kluster Durian Penjara,11,"Marang, Hulu Terengganu",2021-06-18,2021-07-01,community,ended,0,23,0,456,0,1,22,,
Kluster Tanjung A Empat,1,"Johor Bahru, Pontian",2021-06-18,2021-07-01,workplace,ended,0,68,0,373,0,1,67,,
Kluster Industri Jalan Waja 14,10,Kuala Langat,2021-06-18,2021-07-10,workplace,ended,0,45,0,75,0,0,45,,
Kluster Tapak Bina Air Panas,14,Titiwangsa,2021-06-18,2021-07-12,workplace,ended,0,327,0,436,0,0,327,,
Kluster Kampung Serikin,13,"Bau, Kuching",2021-06-18,2021-07-12,community,ended,0,147,0,200,0,0,147,,
Kluster Industri Agas Lima,1,"Tangkak, Muar",2021-06-18,2021-07-13,workplace,ended,0,111,0,535,0,0,111,,
Kluster Industri Jalan Mawar,4,"Alor Gajah, Melaka Tengah",2021-06-18,2021-07-14,workplace,ended,0,184,0,220,0,2,182,,
Kluster Tembok Taiping 2,8,"Larut, Matang Dan Selama",2021-06-18,2021-07-24,detentionCentre,ended,0,657,0,1245,0,0,657,,
Kluster Jalan Bidor,8,Batang Padang,2021-06-18,2021-08-13,workplace,ended,0,371,0,830,0,4,367,,
Kluster Industri Ayer Keroh,4,"Melaka Tengah, Jasin, Alor Gajah",2021-06-18,2021-08-18,workplace,ended,0,120,0,1118,0,0,120,,
Kluster Jalan Tujuh Selatan Dua,10,"Sepang, Hulu Langat, Klang, Kuala Langat, Kuala Selangor, Petaling",2021-06-19,2021-06-18,workplace,ended,0,50,0,530,0,0,50,,
Kluster Sungai Banun,13,Meradong,2021-06-19,2021-06-18,community,ended,0,20,0,86,0,0,20,,
Kluster Industri Alam Jaya 2/1,10,"Kuala Selangor, Klang",2021-06-19,2021-06-18,workplace,ended,0,13,0,61,0,0,13,,
Kluster Tapak Bina Perdagangan Dana,10,Petaling,2021-06-19,2021-06-18,workplace,ended,0,324,0,482,0,0,324,,
Kluster Industri Jalan Dua,10,"Gombak, Hulu Selangor, Petaling",2021-06-19,2021-06-18,workplace,ended,0,22,0,212,0,0,22,,
Kluster Tembok Kluang,1,Kluang,2021-06-19,2021-06-18,detentionCentre,ended,0,28,0,152,0,0,28,,
Kluster Dah Tiong,2,Kuala Muda,2021-06-19,2021-06-24,highRisk,ended,0,36,0,57,0,2,34,,
Kluster Jalan Vita Dua,"10,16","Sepang, Putrajaya",2021-06-19,2021-06-24,workplace,ended,0,22,0,82,0,0,22,,
Kluster Tapak Bina Jalan Perumahan Gurney,"14,16","Titiwangsa , Putrajaya",2021-06-19,2021-06-25,workplace,ended,0,20,0,329,0,0,20,,
Kluster Tebakang Dayak,13,Serian,2021-06-19,2021-06-28,community,ended,0,28,0,95,0,0,28,,
Kluster Kampung Bedal,3,Kuala Krai,2021-06-19,2021-06-30,community,ended,0,42,0,97,0,0,42,,
Kluster Jalan Kempas Lima,1,"Johor Bahru, Kluang, Kulai",2021-06-19,2021-07-03,workplace,ended,0,29,0,224,0,0,29,,
Kluster Selindang,6,Lipis,2021-06-19,2021-07-04,workplace,ended,0,55,0,172,0,0,55,,
Kluster Jalan Kenyalang,1,Johor Bahru,2021-06-19,2021-07-04,workplace,ended,0,83,0,274,0,1,82,,
Kluster Taman Damai,3,"Machang, Jeli",2021-06-19,2021-07-05,community,ended,0,17,0,90,0,1,16,,
Kluster Tembok Labuan,15,Labuan,2021-06-19,2021-07-07,detentionCentre,ended,0,194,0,351,0,0,194,,
Kluster Tanjung Bin Dua,1,"Pontian, Johor Bahru",2021-06-19,2021-07-10,workplace,ended,0,112,0,1311,0,0,112,,
Kluster Industri Jalan P1 Ayer Keroh,4,"Melaka Tengah, Jasin, Alor Gajah",2021-06-19,2021-07-13,workplace,ended,0,65,0,187,0,2,63,,
Kluster Tembok Mantin,5,Seremban,2021-06-19,2021-07-14,detentionCentre,ended,0,141,0,293,0,0,141,,
Kluster Jalan Tengah,1,Mersing,2021-06-19,2021-07-17,community,ended,0,225,0,3083,0,0,225,,
Kluster Taman Merbau Utama,3,"Pasir Puteh, Kota Bharu, Pasir Mas",2021-06-19,2021-07-22,community,ended,0,145,0,1477,0,0,145,,
Kluster Dah Industri Jabi,2,Kota Setar,2021-06-19,2021-07-25,workplace,ended,0,229,0,448,0,0,229,,
Kluster Mongkos 2,13,"Tebedu, Kuching",2021-06-19,2021-07-27,community,ended,0,184,0,242,0,0,184,,
Kluster Tembok Machang,3,"Machang, Kota Bharu ",2021-06-19,2021-08-29,detentionCentre,ended,0,220,0,1110,0,0,220,,
Kluster Kampung Kubang Panjang,3,"Pasir Mas, Kota Bharu",2021-06-20,2021-06-19,workplace,ended,0,36,0,61,0,0,36,,
Kluster Kampung Pulau Panjang,3,Kota Bharu,2021-06-20,2021-06-19,community,ended,0,14,0,30,0,0,14,,
Kluster Tapak Bina Perindustrian Olak Lempit,10,Kuala Langat,2021-06-20,2021-06-19,workplace,ended,0,36,0,43,0,0,36,,
Kluster Kampung Tok Kamis,3,Pasir Puteh,2021-06-20,2021-06-27,community,ended,0,23,0,79,0,0,23,,
Kluster Beladau Selat,11,Kuala Terengganu,2021-06-20,2021-06-27,community,ended,0,50,0,181,0,0,50,,
Kluster Lorong Perlis Empat,13,"Miri, Subis",2021-06-20,2021-06-30,community,ended,0,45,0,769,0,1,44,,
Kluster Iris Garden,13,Kuching,2021-06-20,2021-06-30,highRisk,ended,0,25,0,48,0,2,23,,
Kluster Tapak Bina Jalan Seri Tanjung Pinang,7,Timur Laut,2021-06-20,2021-06-30,workplace,ended,0,35,0,177,0,0,35,,
Kluster Jalan Bundusan,12,"Kota Kinabalu, Penampang",2021-06-20,2021-07-05,workplace,ended,0,26,0,26,0,0,26,,
Kluster Industri Solok Waja Satu,10,Klang,2021-06-20,2021-07-05,workplace,ended,0,27,0,119,0,0,27,,
Kluster Kampung Nelayan Tengah,12,Sandakan,2021-06-20,2021-07-06,community,ended,0,53,0,254,0,0,53,,
Kluster Tapak Bina Persiaran Hamidiah,10,Hulu Langat,2021-06-20,2021-07-09,workplace,ended,0,259,0,332,0,0,259,,
Kluster Jalan Kemboja Tujuh,5,Seremban,2021-06-20,2021-07-14,highRisk,ended,0,45,0,68,0,5,40,,
Kluster Industri Meranti Dua,10,Sepang,2021-06-20,2021-07-17,workplace,ended,0,48,0,58,0,0,48,,
Kluster Lorong Empat Jerantut,6,"Jerantut, Lipis , Maran",2021-06-20,2021-07-18,workplace,ended,0,107,0,142,0,2,105,,
Kluster Industri Lukut Tiga,5,Port Dickson,2021-06-20,2021-07-20,workplace,ended,0,82,0,185,0,0,82,,
Kluster Indera Mahkota 16,6,Kuantan,2021-06-20,2021-07-21,workplace,ended,0,338,0,3025,0,5,333,,
Kluster Salamis,1,Kota Tinggi,2021-06-20,2021-07-23,import,ended,0,10,0,23,0,0,10,,
Kluster Tembok Sungai Udang 2,4,"Melaka Tengah, Alor Gajah, Jasin",2021-06-20,2021-08-13,detentionCentre,ended,0,1505,0,2395,0,0,1505,,
Kluster Industri Lebuh Satu,10,"Klang, Kuala Selangor, Petaling, Kuala Langat",2021-06-20,2021-08-24,workplace,ended,0,70,0,170,0,0,70,,
Kluster Industri Jalan Enggang Ampang,10,Gombak,2021-06-21,2021-06-20,workplace,ended,0,8,0,54,0,0,8,,
Kluster Kampung Tiong,3,Kota Bharu,2021-06-21,2021-06-20,community,ended,0,13,0,24,0,0,13,,
Kluster Tapak Bina Gunung Satu,1,Johor Bahru,2021-06-21,2021-06-20,workplace,ended,0,15,0,106,0,0,15,,
Kluster Jalan Pekeliling Industri,1,Johor Bahru,2021-06-21,2021-06-22,workplace,ended,0,37,0,421,0,0,37,,
Kluster Jalan Baru Tatau - Bintulu,13,Tatau,2021-06-21,2021-06-24,workplace,ended,0,25,0,66,0,0,25,,
Kluster Industri Jati Kiri,10,"Klang, Petaling",2021-06-21,2021-06-26,workplace,ended,0,377,0,468,0,0,377,,
Kluster Jalan Jeram Pasu,3,Pasir Puteh,2021-06-21,2021-06-26,community,ended,0,32,0,87,0,1,31,,
Kluster Kampung Muara Tebas,13,Kuching,2021-06-21,2021-06-26,community,ended,0,26,0,332,0,0,26,,
Kluster Jalan Bioteknologi Dua,1,Johor Bahru,2021-06-21,2021-06-27,workplace,ended,0,18,0,255,0,0,18,,
Kluster Samedra,12,Kota Kinabalu,2021-06-21,2021-06-28,workplace,ended,0,38,0,82,0,0,38,,
Kluster Taman Rantau Mas,3,Pasir Mas,2021-06-21,2021-07-03,community,ended,0,13,0,22,0,1,12,,
Kluster Quadruplex Lapan Enam,13,Miri,2021-06-21,2021-07-04,community,ended,0,59,0,100,0,0,59,,
Kluster Lebuh Kurau Tiga,7,"Seberang Perai Utara, Seberang Perai Tengah, Seberang Perai Selatan, Barat Daya",2021-06-21,2021-07-05,workplace,ended,0,137,0,649,0,0,137,,
Kluster Jalan Tok Janggut,3,"Bachok, Kota Bharu, Machang, Pasir Puteh, Kuala Krai",2021-06-21,2021-07-08,highRisk,ended,0,115,0,342,0,7,108,,
Kluster Kevok,13,Telang Usan,2021-06-21,2021-07-08,community,ended,0,109,0,280,0,0,109,,
Kluster Jalan Jelai - Rompin,5,"Jempol, Port Dickson",2021-06-21,2021-07-12,workplace,ended,0,85,0,394,0,1,84,,
Kluster Industri Jalan Bebas Tiga,10,"Klang, Petaling , Kuala Selangor",2021-06-21,2021-07-13,workplace,ended,0,38,0,240,0,1,37,,
Kluster Industri Batu Besar,10,Klang,2021-06-21,2021-07-13,workplace,ended,0,217,0,316,0,1,216,,
Kluster Perindustrian Sri Plentong,1,"Johor Bahru, Kulai",2021-06-21,2021-07-20,workplace,ended,0,130,0,501,0,1,129,,
Kluster Industri Bukit Tengah,7,"Seberang Perai Tengah, Seberang Perai Utara",2021-06-21,2021-07-23,workplace,ended,0,52,0,288,0,0,52,,
Kluster Serudung Baru,12,Tawau,2021-06-21,2021-07-25,community,ended,0,185,0,855,0,0,185,,
Kluster Jalan Merbok Ayer Keroh,4,"Melaka Tengah, Jasin",2021-06-21,2021-07-30,workplace,ended,0,123,0,251,0,3,120,,
Kluster Jalan Permata 22,10,Gombak,2021-06-22,2021-06-21,workplace,ended,0,14,0,15,0,1,13,,
Kluster Kampung Kubang Hakim,3,Pasir Mas,2021-06-22,2021-06-21,community,ended,0,10,0,16,0,0,10,,
Kluster Jalan Sri Hartamas,14,Kepong,2021-06-22,2021-06-21,workplace,ended,0,21,0,28,0,0,21,,
Kluster Jalan Kebun Baru,10,Kuala Langat,2021-06-22,2021-06-27,workplace,ended,0,13,0,18,0,0,13,,
Kluster Tembok Ulu Teris,10,Sepang,2021-06-22,2021-06-30,detentionCentre,ended,0,17,0,338,0,0,17,,
Kluster Jalan Maju Lima,1,"Johor Bahru, Kota Tinggi",2021-06-22,2021-07-03,workplace,ended,0,74,0,146,0,0,74,,
Kluster Jalan Laksamana Cheng Ho,4,Melaka Tengah,2021-06-22,2021-07-06,highRisk,ended,0,47,0,53,0,8,39,,
Kluster Dah Perdana Tinggi,2,Kulim,2021-06-22,2021-07-08,education,ended,0,68,0,912,0,0,68,,
Kluster Jalan Kepong Usaha,14,Kepong,2021-06-22,2021-07-08,workplace,ended,0,49,0,109,0,0,49,,
Kluster Sungai Long Seripa,13,Sebauh,2021-06-22,2021-07-12,community,ended,0,49,0,109,0,0,49,,
Kluster Jalan Tasik Selatan,"14,16","Cheras, Putrajaya",2021-06-22,2021-07-15,workplace,ended,0,90,0,133,0,0,90,,
Kluster Kampung Bukit Tanah,3,Pasir Puteh,2021-06-22,2021-07-25,community,ended,0,416,0,2161,0,1,415,,
Kluster Taman Pusat Kepong,14,Kepong,2021-06-22,2021-08-02,workplace,ended,0,88,0,185,0,0,88,,
Kluster Industri Jalan Teknologi Lima Nilai,5,"Seremban, Port Dickson, Rembau, Kuala Pilah",2021-06-22,2021-08-02,workplace,ended,0,305,0,1451,0,0,305,,
Kluster Kampung Pulau Tukang Dollah,3,Kota Bharu,2021-06-22,2021-08-02,community,ended,0,59,0,876,0,0,59,,
Kluster Industri Kampung Bukit Angkat,10,Hulu Langat,2021-06-22,2021-08-08,workplace,ended,0,69,0,205,0,0,69,,
Kluster Lunyim,13,"Telang Usan, Beluru",2021-06-22,2021-08-12,community,ended,0,177,0,224,0,0,177,,
Kluster Industri Jalan Senawang Empat,"4,5","Seremban, Jempol, Kuala Pilah, Rembau, Port Dickson, Melaka Tengah, Alor Gajah, Jelebu",2021-06-22,2021-08-12,workplace,ended,0,471,0,1793,0,0,471,,
Kluster Tapak Bina Laluan Klang,10,"Klang, Petaling",2021-06-22,2021-08-12,workplace,ended,0,421,0,682,0,1,420,,
Kluster Jalan Persiaran Enam,10,"Kuala Selangor, Hulu Langat, Klang",2021-06-22,2021-09-05,workplace,ended,0,275,0,434,0,1,274,,
Kluster Industri Ss Lapan Sungai Way,"10,14","Petaling, Klang, Hulu Selangor, Kuala Selangor, Gombak, Hulu Langat, Cheras",2021-06-22,2021-09-06,workplace,ended,0,197,0,1159,0,1,196,,
Kluster Industri Perusahaan Utama,10,Hulu Langat,2021-06-23,2021-06-22,workplace,ended,0,30,0,43,0,1,29,,
